"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GS","Memo item: Goods and services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GS","Memo item: Goods and services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information serv","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information serv","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
